date,BAJAJ-AUTO,BEL,BHARTIARTL,M&M,TRENT
2023-10-03 05:30:00,,,,,
2023-10-04 05:30:00,-0.019505825833009305,-0.0025143678160919336,-0.0011347671025613293,-0.009951866788083907,-0.017871885775338714
2023-10-05 05:30:00,-0.0010764584516939069,-0.0017959770114942541,0.0038365935372313142,0.0003577468453233035,-0.005584964304793272
2023-10-06 05:30:00,-0.0003687866917839733,-0.0014367816091952479,0.0008105479304010288,0.007447638870820672,0.006313437909766462
2023-10-09 05:30:00,-0.0018239990431480058,-0.024784482758620552,-0.0008105479304009178,-0.014439963574866765,0.009688698946141772
2023-10-10 05:30:00,0.004196194520029062,0.0053879310344828735,0.024910839727655842,0.0002927019643550466,-0.004030887280850659
2023-10-11 05:30:00,0.009558552362726624,-0.010416666666666519,0.032746136388198455,0.012293482502926611,0.020494390753241776
2023-10-12 05:30:00,0.017970875818557053,-0.007183908045976906,0.027072300875391697,0.0190256276831009,0.008790248166674619
2023-10-13 05:30:00,0.007166422470073375,-0.012571839080459668,0.0312331135847832,0.01629374268245054,0.01248118109853813
2023-10-16 05:30:00,0.012010485502696122,-0.012931034482758341,0.022965524694693373,0.02416417327956233,0.0235782623476275
2023-10-17 05:30:00,0.02487815088359291,-0.004669540229884861,0.03063871176915578,0.025497593339403712,0.00966441649264227
2023-10-18 05:30:00,0.024100708668480575,-0.015445402298850386,0.02977412731006157,0.02435930792246599,-0.004929338060317812
2023-10-19 05:30:00,0.09292427912168955,-0.015804597701149392,0.0190748946287691,0.020911929231169024,0.0007284736049730789
2023-10-20 05:30:00,0.09425988497842086,-0.03591954022988508,0.021506538419971966,0.01356185768179996,-0.011145646156087485
2023-10-23 05:30:00,0.07753491014562064,-0.04669540229885061,0.015130228034150983,0.01804995446858304,-0.032611335049293255
2023-10-25 05:30:00,0.06595301458202485,-0.05747126436781602,-0.0029179725494434816,0.020619227266813533,-0.03197999125831674
2023-10-26 05:30:00,0.04842069591045428,-0.07435344827586188,-0.021398465362585162,-0.02035904774294317,-0.013598173959496807
2023-10-27 05:30:00,0.07118579872220354,-0.050287356321838894,-0.01156381714038679,-0.017301938337453415,0.03059589140886798
2023-10-30 05:30:00,0.05829819892553445,-0.05208333333333315,0.0010266940451746365,-0.025757772863276296,0.029454616094410246
2023-10-31 05:30:00,0.05932482133779815,-0.04274425287356309,-0.011779963255160397,-0.05125536620268045,0.04642805109028214
2023-11-01 05:30:00,0.06536494931674741,-0.048850574712643535,-0.012806657300334812,-0.053857161441395185,0.06728667864601068
2023-11-02 05:30:00,0.060191968423884745,-0.03196839080459746,-0.0015670593321083226,-0.044035384415247125,0.06349861590015071
2023-11-03 05:30:00,0.07026881559668618,-0.023347701149425193,0.005889981627580365,-0.04449069858202226,0.06672818221553123
2023-11-06 05:30:00,0.07782395917431595,-0.011135057471264198,0.015022154976764401,-0.03193703655522384,0.08455150308387172
2023-11-07 05:30:00,0.08024599069062721,-0.008261494252873258,0.012806657300334923,-0.0374983738779765,0.17721334563644353
2023-11-08 05:30:00,0.07598002571539575,0.00862068965517282,0.012374365070787707,-0.0325224404839346,0.191224321305425
2023-11-09 05:30:00,0.0802260562748549,-0.008979885057470938,0.0076191505457687825,0.009529075061791792,0.2034626778689721
2023-11-10 05:30:00,0.0748736656400435,-0.0028735632183902737,0.01102345185345266,-0.008650969168727318,0.20895051235976903
2023-11-12 05:30:00,0.084940545604959,0.002873563218391162,0.013725278288122533,-0.007252504227918122,0.21133019280268117
2023-11-13 05:30:00,0.08148192446849789,0.03017241379310387,0.01048308656651864,0.001853779107583442,0.24280025253751703
2023-11-15 05:30:00,0.10370879805440025,0.027658045977011936,0.02669404517453766,0.004390529465330362,0.23993492302462305
2023-11-16 05:30:00,0.10653948509403977,0.02442528735632221,0.026207716416297044,0.020879406790684785,0.23583118838327466
2023-11-17 05:30:00,0.12260662420636015,0.04956896551724177,0.02377607262509418,0.030668661376348716,0.2512262639017051
2023-11-20 05:30:00,0.12632439274785856,0.03340517241379337,0.03901437371663197,0.009626642383243622,0.27373609829537227
2023-11-21 05:30:00,0.13346091359427392,0.026221264367816355,0.04922727763968382,0.014537530896317596,0.269365256665534
2023-11-22 05:30:00,0.14653789034077813,0.019037356321839338,0.04803847400842898,0.003935215298555228,0.27587295420329316
2023-11-23 05:30:00,0.18116397053693256,0.0010775862068967967,0.055495514968117776,0.0054962924417838455,0.28942256325579185
2023-11-24 05:30:00,0.18217065853342396,0.008261494252873591,0.051712957959580086,0.010277091192922194,0.28682434073138774
2023-11-28 05:30:00,0.19569615963480036,0.015086206896551824,0.06441154220252843,0.018635358397293134,0.2975329027244915
2023-11-29 05:30:00,0.21000907015917525,0.012931034482758674,0.07575921322814172,0.053141667750747024,0.29979117089990814
2023-11-30 05:30:00,0.21411555980822983,0.04813218390804597,0.09661731330379286,0.07177702614804127,0.35350395803992085
2023-12-01 05:30:00,0.20524474478964105,0.059267241379310276,0.09661731330379286,0.057304540132690596,0.36355689378854894
2023-12-04 05:30:00,0.2362726629389298,0.10308908045977017,0.11628660974818938,0.07769611031611712,0.3680005827788848
2023-12-05 05:30:00,0.22399306282331022,0.09195402298850563,0.11434129471522692,0.09668921555873466,0.3961196639308444
2023-12-06 05:30:00,0.21000907015917525,0.12176724137931005,0.10715443639900535,0.10732405359698127,0.3927686853479684
2023-12-07 05:30:00,0.21472355948927913,0.15193965517241348,0.08073057386793447,0.10098217770261408,0.38176873391287547
2023-12-08 05:30:00,0.21115529906607144,0.14044540229885039,0.08100075651140148,0.08530636138935788,0.3798747025399458
