Ticker,close,Date,high,low,month,open,volume,symbol,sector,ADANIENT,2387.25,03-10-2023,2424.9,2372,2023-10,2418,2019899,ADANIENT,Conglomerate
ADANIENT,2464.95,04-10-2023,2502.75,2392.25,2023-10,2402.2,2857377,ADANIENT,Conglomerate
ADANIENT,2466.35,05-10-2023,2486.5,2446.4,2023-10,2477.95,1132455,ADANIENT,Conglomerate
ADANIENT,2478.1,06-10-2023,2514.95,2466.05,2023-10,2466.35,1510035,ADANIENT,Conglomerate
ADANIENT,2442.6,09-10-2023,2459.7,2411.3,2023-10,2440,1408224,ADANIENT,Conglomerate
ADANIENT,2498.3,10-10-2023,2517.95,2443,2023-10,2443,1771910,ADANIENT,Conglomerate
ADANIENT,2488.6,11-10-2023,2538,2482.5,2023-10,2533.9,1627836,ADANIENT,Conglomerate
ADANIENT,2506.35,12-10-2023,2521.75,2490.65,2023-10,2499.9,1804818,ADANIENT,Conglomerate
ADANIENT,2454.55,13-10-2023,2495,2422.35,2023-10,2488.9,2278682,ADANIENT,Conglomerate
ADANIENT,2429.35,16-10-2023,2464.7,2421.85,2023-10,2454.55,803856,ADANIENT,Conglomerate
ADANIENT,2428.4,17-10-2023,2462,2423.5,2023-10,2459.95,707543,ADANIENT,Conglomerate
ADANIENT,2406.35,18-10-2023,2441.75,2401.05,2023-10,2440,776977,ADANIENT,Conglomerate
ADANIENT,2402.2,19-10-2023,2414.7,2382.55,2023-10,2400,1168822,ADANIENT,Conglomerate
ADANIENT,2393.75,20-10-2023,2443.95,2382.05,2023-10,2398.05,1240350,ADANIENT,Conglomerate
ADANIENT,2308.65,23-10-2023,2412.35,2301.8,2023-10,2397.8,1483549,ADANIENT,Conglomerate
ADANIENT,2257,25-10-2023,2348.05,2235.3,2023-10,2320,1540819,ADANIENT,Conglomerate
ADANIENT,2203.2,26-10-2023,2249,2167.05,2023-10,2249,2226073,ADANIENT,Conglomerate
ADANIENT,2261.7,27-10-2023,2275,2212,2023-10,2222,1244293,ADANIENT,Conglomerate
ADANIENT,2299.1,30-10-2023,2305,2250,2023-10,2260.05,996448,ADANIENT,Conglomerate
ADANIENT,2294.65,31-10-2023,2320,2276,2023-10,2320,1155280,ADANIENT,Conglomerate
ADANIENT,2217.3,01-11-2023,2312.25,2207,2023-11,2299,1666579,ADANIENT,Conglomerate
ADANIENT,2215.3,02-11-2023,2297.95,2204.2,2023-11,2247,2340997,ADANIENT,Conglomerate
ADANIENT,2229.85,03-11-2023,2279,2215,2023-11,2215.3,1853300,ADANIENT,Conglomerate
ADANIENT,2246,06-11-2023,2260,2233,2023-11,2253.95,770061,ADANIENT,Conglomerate
ADANIENT,2233.35,07-11-2023,2260,2226.65,2023-11,2257,641554,ADANIENT,Conglomerate
ADANIENT,2259.95,08-11-2023,2298,2235,2023-11,2245.3,1169180,ADANIENT,Conglomerate
ADANIENT,2214.65,09-11-2023,2272.6,2210.1,2023-11,2269,1267890,ADANIENT,Conglomerate
ADANIENT,2205.1,10-11-2023,2237,2198.5,2023-11,2220.25,1072597,ADANIENT,Conglomerate
ADANIENT,2211.35,12-11-2023,2226,2205.1,2023-11,2219.7,148320,ADANIENT,Conglomerate
ADANIENT,2213.65,13-11-2023,2241.9,2195.55,2023-11,2215.5,853633,ADANIENT,Conglomerate
ADANIENT,2225.4,15-11-2023,2250,2220.5,2023-11,2240,696475,ADANIENT,Conglomerate
ADANIENT,2205.9,16-11-2023,2232.8,2196.1,2023-11,2226,1307584,ADANIENT,Conglomerate
ADANIENT,2208.8,17-11-2023,2237.95,2201,2023-11,2205.9,916518,ADANIENT,Conglomerate
ADANIENT,2149.85,20-11-2023,2218.5,2142,2023-11,2211,1577213,ADANIENT,Conglomerate
ADANIENT,2196.65,21-11-2023,2232.55,2158.35,2023-11,2160,1839502,ADANIENT,Conglomerate
ADANIENT,2172.65,22-11-2023,2225,2153.5,2023-11,2205.15,1247205,ADANIENT,Conglomerate
ADANIENT,2175.25,23-11-2023,2190,2160.6,2023-11,2190,729114,ADANIENT,Conglomerate
ADANIENT,2225.45,24-11-2023,2251.95,2160.9,2023-11,2179,1946259,ADANIENT,Conglomerate
ADANIENT,2423.5,28-11-2023,2512.4,2275,2023-11,2301,11972275,ADANIENT,Conglomerate
ADANIENT,2396.6,29-11-2023,2477.65,2390,2023-11,2468.7,4561574,ADANIENT,Conglomerate
ADANIENT,2358.55,30-11-2023,2409,2343.05,2023-11,2400.05,2983879,ADANIENT,Conglomerate
ADANIENT,2362.7,01-12-2023,2403.35,2354.1,2023-12,2370,1792983,ADANIENT,Conglomerate
ADANIENT,2531.2,04-12-2023,2595,2487.45,2023-12,2549.95,5681516,ADANIENT,Conglomerate
ADANIENT,2959.35,05-12-2023,2999.9,2531.2,2023-12,2531.2,22879079,ADANIENT,Conglomerate
ADANIENT,2883.95,06-12-2023,3154.55,2844.85,2023-12,3080,19355777,ADANIENT,Conglomerate
ADANIENT,2887.15,07-12-2023,2945.9,2853.05,2023-12,2900,6325887,ADANIENT,Conglomerate
ADANIENT,2822.15,08-12-2023,2927,2760,2023-12,2902.7,6959428,ADANIENT,Conglomerate
ADANIENT,2855.8,11-12-2023,2919.9,2811.05,2023-12,2837.05,5064123,ADANIENT,Conglomerate
ADANIENT,2857.65,12-12-2023,2895.95,2840.55,2023-12,2869.1,2017772,ADANIENT,Conglomerate
