symbol,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8779396503300088,0.14142897137225147,0.29169922538623455,0.31432212075753957,0.20792987379707112,0.36374264786397226,0.34074131820222675,0.5248382781066138,0.2844488288307293,0.45671547761938375,0.1285948219116027,0.09811003643257493,0.49892815970316096,0.16781006927949324,0.32948303384741967,0.3499313502284346,0.14049800591723716,0.3354188536915058,0.22126690073920754,0.21178545894723994,0.30905881564714066,-0.006077092867940204,0.3999293288558443,0.3980260695361148,0.11374524459348465,0.24951755187631244,0.4121541205278259,0.24520056828201575,0.4886598062911324,0.30810311401891877,0.3240498669930311,0.10671005804249915,0.5546154890302752,0.48828903641764365,0.40595164751720086,0.48886505883859166,0.29524999086423365,0.5550265457562786,0.4208462583871676,0.1731881060728588,0.2067966323528514,0.3278004487766289,0.4304046755603626,0.11424333611722458,0.1447897533708209,0.2868659306170377,0.19506845120449212,0.3703306137480998,0.22515409741313439
ADANIPORTS,0.8779396503300088,1.0,0.16787476628949463,0.2743037513162398,0.38235657094074815,0.2034275481217164,0.39762632122674835,0.39825707798319016,0.58556943974779,0.3163437026685247,0.4951215450300657,0.13431676542193802,0.09011217040978682,0.5458886769271899,0.1602477964531323,0.2710854621743573,0.3555041988749226,0.15259261222232143,0.3774173864665878,0.24629128318371138,0.20186632905223356,0.33718851257770405,0.004105859577668086,0.44185402879814384,0.42202908194647115,0.15003948967608904,0.273142321627227,0.4342154922584426,0.3056540549162938,0.5136596904333579,0.3188416147836095,0.30166732075829567,0.09196168293607745,0.610857238400684,0.5215010587640354,0.5115428994797567,0.5126767404975044,0.28383449665038635,0.5802238143923115,0.47033043155227205,0.21480114259349692,0.2200728969947372,0.3387096390764673,0.46576173015262756,0.1331104265272542,0.1473119905823826,0.2955735296860532,0.20018575363802654,0.402349015802777,0.23884884632574838
APOLLOHOSP,0.14142897137225147,0.16787476628949463,1.0,0.25912329109361876,0.1714007419191939,0.2202099588549446,0.24565684725495984,0.2205896389686413,0.22420865952171384,0.2364492878935945,0.17497653422325501,0.2346764580912759,0.22856193723538978,0.24156957449807256,0.23352474699623776,0.2944312436603601,0.25533687511284997,0.2795082430657404,0.11453948528861745,0.13873424912909316,0.24639932835278103,0.059824940166245746,0.11341192915577734,0.16128905364520887,0.12519732440959752,0.12357268487688479,0.1717974442376143,0.2728970699099232,0.13926877983627997,0.23321873385615502,0.24924179072361388,0.18933538961373575,0.23648113083537634,0.1899160508515349,0.17215457619844046,0.17784503950813482,0.23461975276422378,0.1569743633001651,0.17788616445663594,0.2871724271181635,0.28230537460913974,0.0947228623360883,0.21038492796867087,0.2513464004905923,0.1088624229320618,0.1670620805844757,0.25151818750871124,0.0861515384931353,0.26854621628411973,0.22361073373609083
ASIANPAINT,0.29169922538623455,0.2743037513162398,0.25912329109361876,1.0,0.12930517164495103,0.1687360899328077,0.24950203228571258,0.29775518407469415,0.15708462886610178,0.14708400143661676,0.21584405922261526,0.4268905182791553,0.1476542695094463,0.19550968751833314,0.15042542131112716,0.25782737948688206,0.3455788863353339,0.11752037654872706,0.2643143841943878,0.20676709682107453,0.18063950064243015,0.2128555886001068,0.27007204423305126,0.1595630522964776,0.18190247725136738,0.1041381490706478,0.27617434472155566,0.3349180335917242,0.1813298803426885,0.2238935634235104,0.1405532890806569,0.26227211816038,0.28437413283619456,0.223500621266288,0.1289674244592147,0.11180838413819831,0.29506360917954133,0.22146501131057797,0.10917179156535202,0.20459462273364176,0.2037641826534706,0.24472368206240425,0.10626996361065626,0.2883705168813847,0.16653996673274438,0.16341947946009164,0.3079929012170716,0.22395038984746146,0.28280820181380717,0.14073026113781092
AXISBANK,0.31432212075753957,0.38235657094074815,0.1714007419191939,0.12930517164495103,1.0,0.18918420600492958,0.3872472153532005,0.35086916378198896,0.3330295691912958,0.23977022491056693,0.22522084062709358,0.13893806470642284,0.0776975442949582,0.3305228319860073,0.08592499849645244,0.2990654386225964,0.36279844816829065,0.10839713958664496,0.4422295151703762,0.24634297767361885,0.16869364805453224,0.22313224480212349,0.023355659095055152,0.6374158515659412,0.3333282674994146,0.09205682157093224,0.2718656754537982,0.3604732231540789,0.29410281659513493,0.34838145498120426,0.2325059243804194,0.24936875831593175,0.12753510563634077,0.38783835108288106,0.31297002371152327,0.2963918279203953,0.4280235914735919,0.17428281546795749,0.5095263284570789,0.4393502675396917,0.13168398978063459,0.135898963505409,0.22881885389974602,0.3651469655419879,0.10076943822949208,0.13179152131696545,0.141319256049088,0.19311707129477582,0.38797295674132365,0.2092382759206566
BAJAJ-AUTO,0.20792987379707112,0.2034275481217164,0.2202099588549446,0.1687360899328077,0.18918420600492958,1.0,0.23321909702786756,0.1754428314406147,0.2330901929401039,0.261794631456851,0.21571459778801982,0.09771964294779249,0.039834580383602915,0.22347886635512498,0.10224573370231421,0.28088375482271377,0.19711499172272978,0.1245740502426696,0.1875719358192221,0.1887243686886013,0.4053841087420572,0.21429783399803334,0.13148760959962058,0.1047983034237049,0.20192713605723292,-0.0016236129491760732,0.13771731277815052,0.2195202348132497,0.08190506704070132,0.1724447893830369,0.26969018634990277,0.33750339645492433,0.192101169182023,0.1976860236195568,0.1862238819950663,0.16771191240961625,0.24695892023032096,0.1860276114905116,0.14881080363562532,0.295724571913072,0.1444360215639518,0.18316458926051202,0.2927551619043786,0.279905884190189,0.01968759383311586,0.03506586198914431,0.19879619927838943,0.22009475992350225,0.2580455635454401,0.10208803086353854
BAJAJFINSV,0.36374264786397226,0.39762632122674835,0.24565684725495984,0.24950203228571258,0.3872472153532005,0.23321909702786756,1.0,0.7479714110071508,0.34629194292378884,0.25741400945303927,0.3459079095863302,0.22913667250441844,0.1324520543046226,0.27756759651139057,0.25558309076200875,0.2462231749188037,0.43252310544256517,0.26834384066250605,0.3249887671386673,0.344725340330304,0.23412315266770367,0.29389567791699467,0.14640170529188237,0.41294044339340163,0.4197717457794975,0.24412925345156303,0.30146925206381275,0.44460062791805727,0.27295370298889093,0.3965354077654752,0.3359303565678915,0.3244293258034864,0.28870501404653287,0.3873164617933048,0.30444370098361945,0.30681164726409776,0.4077295245644164,0.4025068372466296,0.4155461622472815,0.4645344598607272,0.20787399235431,0.30288573254856643,0.27810313695890165,0.45356540686484437,0.23779053370625736,0.20196624842363314,0.3276662921532505,0.19757181473848726,0.459087403863765,0.3068714826698995
BAJFINANCE,0.34074131820222675,0.39825707798319016,0.2205896389686413,0.29775518407469415,0.35086916378198896,0.1754428314406147,0.7479714110071508,1.0,0.3155732309942083,0.2913566609340666,0.272686508376497,0.2102130416939137,0.05118125938800788,0.278705654049938,0.08640360357770885,0.19259484738676289,0.3670400180324057,0.18323313865220556,0.335802021531546,0.30518740440676884,0.16962331663830452,0.25279210566713245,0.13201702432393345,0.34811964388483846,0.40416786606318844,0.1990717138809805,0.30286307228927956,0.38884248863863374,0.3156865903930553,0.3771688739962815,0.26652522800752604,0.278029614742221,0.25731447358398957,0.32556227828060236,0.31530113227439377,0.24466665404632265,0.4134272109964008,0.332770423549604,0.39509192123259845,0.4593464417035189,0.13345488583310205,0.23502808092580244,0.2111251085159607,0.3794203979725422,0.17613843280328997,0.17168406536803563,0.26754551776346713,0.22689660795481026,0.4321632357590445,0.2383640615428504
BEL,0.5248382781066138,0.58556943974779,0.22420865952171384,0.15708462886610178,0.3330295691912958,0.2330901929401039,0.34629194292378884,0.3155732309942083,1.0,0.3091678166449789,0.505780864918478,0.07372963161451405,0.08181890457279936,0.6202951110218682,0.13104622177704567,0.28525543918225965,0.3377521812568585,0.22401075341855484,0.33220349096213975,0.25096111167268736,0.08732704949188543,0.37567939784525595,-0.05741868812587838,0.3134993671923266,0.30845194398503883,0.16511315709089705,0.22984661554352112,0.4589695450679889,0.2663860936347447,0.5915987955103765,0.3692848621343312,0.2243755678056182,0.06795055215454295,0.6088809094102398,0.5722819841530636,0.5446626252182051,0.49244691297024684,0.2095248987825849,0.5816635409170489,0.4767985775130959,0.16298726195289887,0.17546016819002286,0.3669599961438709,0.5207622869035929,0.12118530791201922,0.22205412822680215,0.16637415583777138,0.2630970209645185,0.4362990709700655,0.255762786897646
BHARTIARTL,0.2844488288307293,0.3163437026685247,0.2364492878935945,0.14708400143661676,0.23977022491056693,0.261794631456851,0.25741400945303927,0.2913566609340666,0.3091678166449789,1.0,0.26497270570355175,0.12180569112552656,0.1194301325211014,0.2667281644528571,0.17770718717650436,0.2957815399558053,0.29694030178059966,0.25841013977791444,0.21225267643153725,0.21463404890273902,0.18354452309215735,0.2938639116667163,0.16008438530025007,0.36646128668427164,0.2312808313184534,0.2893053901082978,0.2601968255271088,0.3647867111087901,0.31887212233534923,0.32371583870814596,0.2916430590792267,0.3483552160436731,0.10915033358839016,0.36634140681898436,0.3461916203262328,0.31108571242575805,0.3659174877040801,0.24138614508596667,0.29043391291910436,0.3614461955515923,0.27210527896780473,0.24843334778967485,0.26902837154012144,0.30518600416916,0.19364484794638265,0.2720538936436312,0.27574080789029237,0.2475804966564401,0.35451900483058,0.2590403414238988
