sector,yearly_return
Telecom,0.33230727315034003
IT,0.1712498989778071
Healthcare,0.16020220601102822
Logistics,0.15845940469946773
Industrials,0.08472931525090807
Financial Services,0.06664748657591073
Energy,0.046063713593120226
Consumer Goods,-0.020100459608807127
Conglomerate,-0.04023492457633225
